date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:21:48	2078/2078	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2028%20Sep%202025%2009:21:42%20GMT	http://www.everblue-industries.com/robots.txt		(from )
17:21:48	40260/40260	---MCZ	200	added ('OK')	text/html	date:Sun,%2028%20Sep%202025%2009:21:43%20GMT	http://www.everblue-industries.com/	C:/Users/Lenovo/Desktop/zkb/www.everblue-industries.com/index.html	(from )
17:21:49	2755/2755	---MCZ	200	added ('OK')	text/css	etag:W/%2280cba256db34d61:0%22	http://www.everblue-industries.com/css/public.css	C:/Users/Lenovo/Desktop/zkb/www.everblue-industries.com/css/public.css	(from http://www.everblue-industries.com/)
17:21:49	2633/2633	---MCZ	200	added ('OK')	text/css	etag:W/%2280cba256db34d61:0%22	http://www.everblue-industries.com/css/slick.css	C:/Users/Lenovo/Desktop/zkb/www.everblue-industries.com/css/slick.css	(from http://www.everblue-industries.com/)
17:21:49	16958/16958	---MCZ	200	added ('OK')	image/x-icon	etag:W/%220f3cb59f442d61:0%22	http://www.everblue-industries.com/images/favicon.ico	C:/Users/Lenovo/Desktop/zkb/www.everblue-industries.com/images/favicon.ico	(from http://www.everblue-industries.com/)
17:21:50	10306/10306	---M--	200	added ('OK')	image/png	etag:%2280cd5e432351d61:0%22	http://www.everblue-industries.com/UpLoadFile/20200601/481439f6-cbed-490b-9b85-7c174997718c.png	C:/Users/Lenovo/Desktop/zkb/www.everblue-industries.com/UpLoadFile/20200601/481439f6-cbed-490b-9b85-7c174997718c.png	(from http://www.everblue-industries.com/)
17:21:50	2856/2856	---M--	200	added ('OK')	image/png	etag:%2280cba256db34d61:0%22	http://www.everblue-industries.com/images/menu.png	C:/Users/Lenovo/Desktop/zkb/www.everblue-industries.com/images/menu.png	(from http://www.everblue-industries.com/)
17:21:50	1534/1534	---M--	200	added ('OK')	image/png	etag:%2280cba256db34d61:0%22	http://www.everblue-industries.com/images/tel.png	C:/Users/Lenovo/Desktop/zkb/www.everblue-industries.com/images/tel.png	(from http://www.everblue-industries.com/)
17:21:50	1726/1726	---M--	200	added ('OK')	image/png	etag:%2280cba256db34d61:0%22	http://www.everblue-industries.com/images/search.png	C:/Users/Lenovo/Desktop/zkb/www.everblue-industries.com/images/search.png	(from http://www.everblue-industries.com/)
17:21:51	65274/65274	---MCZ	200	added ('OK')	text/css	etag:W/%2280cba256db34d61:0%22	http://www.everblue-industries.com/css/animate.css	C:/Users/Lenovo/Desktop/zkb/www.everblue-industries.com/css/animate.css	(from http://www.everblue-industries.com/)
17:21:51	81788/81788	---MCZ	200	added ('OK')	text/css	etag:W/%2204881ad61aed61:0%22	http://www.everblue-industries.com/css/style.css	C:/Users/Lenovo/Desktop/zkb/www.everblue-industries.com/css/style.css	(from http://www.everblue-industries.com/)
